Designator,Length
BR6,788.599
BT6,796.772
BP3,828.411
BR3,862.133
BN5,782.147
BP6,781.633
BP2,844.288
BN3,826.784
BL4,758.313
BL5,740.829
BL2,814.087
BM1,857.32
BK4,740.417
BK5,722.197
BK1,824.364
BK2,797.853
BG4,710.739
BG5,696.233
BF4,694.329
BF5,675.754
BG2,762.721
BG1,799.029
BF1,761.82
BF2,748.734
BD2,693.306
BD1,729.371
BC4,616.461
BC5,599.431
BD5,607.277
BD4,641.185
BC1,680.043
BC2,671.68
AB1,442.022
AB2,419.873
AA4,380.01
AA5,361.633
AB5,369.314
AB4,383.335
AA2,435.756
AA1,465.11
V5,360.372
V2,442.045
U1,470.228
U2,444.907
V1,465.591
V4,393.847
U5,372.869
U4,402.964
R2,520.415
P5,494.119
R4,460.376
P4,488.668
R5,438.466
P2,560.11
R1,530.76
P1,546.173
M4,602.104
M1,744.146
L4,532.634
L2,668.652
M5,499.768
M2,685.518
L5,512.513
L1,652.669
BT11,758.539
BR11,728.181
BT9,826.889
BR8,801.568
BP11,723.312
BN11,704.844
BP8,785.795
BN8,757.268
BL12,654.899
BL11,665.655
BL8,744.236
BJ8,707.987
BJ11,647.044
BJ10,664.355
BL7,764.609
BJ7,722.281
BG11,591.779
BG10,600.548
BG8,657.914
BF8,622.118
BF11,564.281
BF10,574.895
BG7,677.562
BF7,640.506
BB11,502.747
BC11,524.893
BB8,567.157
BC8,587.507
BC10,555.955
BB10,504.738
BC7,655.803
BB7,588.193
AA11,267.157
AA10,285.93
AC11,348.254
AC10,371.529
AA7,382.575
AA8,364.198
AC8,431.26
AC7,452.122
W8,367.826
W7,387.575
V10,318.118
V11,278.87
W11,285.258
W10,305.775
V7,406.277
V8,370.676
R11,312.612
P11,320.507
P7,483.443
R8,453.071
R10,391.734
P10,363.76
R7,540.678
P8,448.737
L11,440.022
M11,413.428
L7,580.208
M8,565.758
L10,479.209
M10,494.949
M7,636.389
L8,541.989
BP5,838.717
BR5,838.717
BK3,800.702
BL3,800.735
BF3,742.04
BG3,742.004
BC3,667.177
BD3,667.169
AB3,443.853
AA3,443.929
V3,469.866
U3,469.856
R3,502.421
P3,502.652
M3,626.658
L3,626.773
AY3,605.209
BA3,605.274
BP9,763.061
BN9,763.045
BJ9,746.495
BL9,746.897
BF9,648.544
BG9,648.518
BB9,560.584
BC9,560.59
AA9,394.149
AC9,393.955
V9,433.757
W9,433.788
P9,434.251
R9,434.146
L9,544.022
M9,543.735
AW9,695.424
AY9,695.425
AG1,463.051
AG2,463.123
AK2,537.609
AK1,537.64
AL3,526.751
AK3,526.749
AL2,574.092
AL1,574.044
AM9,670.551
AN9,670.533
AM7,607.673
AM8,607.708
AM11,616.773
AM10,616.797
AJ10,507.335
AJ11,507.389
AD3,544.659
AE4,548.881
AE1,527
AD4,387.003
AF7,531.367
AE8,435.339
AE9,381.318
AE11,308.267
AD5,587.699
AE2,496.257
AD2,430.25
AE5,432.52
AF11,390.459
AE7,466.755
AF10,511.412
AE10,354.402
AT1,587.144
AT2,660.37
AT3,515.291
AT5,600.351
AT8,455.779
AT10,506.731
AT7,517.923
AT11,548.328
AG3,560.651
AJ7,626.297
AU5,1120.131
AR8,1030.418
AH3,629.458
AP4,524.635
AN4,562.718
AP5,584.289
AP2,563.438
AP1,554.625
AP3,558.023
AN1,546.311
AN3,528.714
AT4,537.218
AH2,520.037
AN2,531.725
AU4,573.01
AE3,488.65
AG4,525.909
AD1,487.289
AH4,498.976
AU3,597.201
AU1,641.033
AU2,657.326
AH5,469.453
AH1,603.96
AJ9,616.299
AK6,527.826
AK5,393.033
AL5,443.188
AL6,396.161
AM6,475.583
AN7,428.376
AN10,559.187
AN8,455.88
AR11,632.317
AH7,411.024
AN11,415.886
AR10,591.231
AF9,317.505
AH11,520.278
AF8,375.585
AH10,392.923
AT9,578.344
AR9,599.416
AR7,476.987
AH8,492.507
AH9,369.005
BA2,621.78
BA1,656.913
AY4,567.239
AY5,540.702
BA5,549.531
BA4,577.804
AY1,635.732
AY2,616.694
AW11,588.241
AY11,564.813
AY8,602.581
AW8,557.409
AY10,574.604
AW10,531.992
AY7,611.527
AW7,575.026
